latitude,longitude,date
-22.539043642727666, -44.66674641084508, 2024-08-15
-22.5381008977825, -44.65939733730697, 2024-08-15
-22.531312944158657, -44.64857786793142, 2024-08-15
-22.52263896235073, -44.640208089735246, 2024-08-15
-22.51622740839143, -44.638268750884905, 2024-08-15
-22.511324254666853, -44.63347143899197, 2024-08-15
-22.51273864378196, -44.62275404008223, 2024-08-15
-22.52226182035259, -44.626326506385475, 2024-08-15
-22.527635996636473, -44.62642857685129, 2024-08-15
-22.536215388580242, -44.625816154056444, 2024-08-15
-22.545171327945415, -44.622345758219005, 2024-08-15
-22.555066744707403, -44.61693653908553, 2024-08-15
-22.56119879179732, -44.60813122342475, 2024-08-15
-22.565464402883187, -44.60076940213458, 2024-08-15
-22.57599456560372, -44.59918155834514, 2024-08-15
-22.581792476060468, -44.60755382569474, 2024-08-15
-22.59072211368351, -44.61296692958456, 2024-08-15
-22.59525335012868, -44.61729741269643, 2024-08-15
-22.602982762223217, -44.62242181771213, 2024-08-15
-22.609912211202357, -44.6272575238371, 2024-08-15
-22.56513115681274, -44.59615022026106, 2024-08-15
-22.560398974956193, -44.58770577823023, 2024-08-15
-22.5644646621756, -44.58366399402518, 2024-08-15
-22.571595987889907, -44.57709609466038, 2024-08-15
-22.577260796599308, -44.57132211717789, 2024-08-15
-22.55386696422869, -44.58453009066008, 2024-08-15
-22.5462681136969, -44.58337529517176, 2024-08-15
-22.539535449192936, -44.57817871544188, 2024-08-15
-22.53693561961194, -44.573920407048554, 2024-08-15
-22.534802389493322, -44.56735250767965, 2024-08-15
-22.53653564143189, -44.56208375322689, 2024-08-15
-22.53066916246188, -44.56367159703457, 2024-08-15
-22.536402315132115, -44.5616507049157, 2024-08-15
-22.52920250378129, -44.56309419928632, 2024-08-15
-22.52780249678316, -44.55876371618617, 2024-08-15
-22.528469168507517, -44.56547596500956, 2024-08-15
-22.52400240651763, -44.55262886511104, 2024-08-15
-22.53640231503881, -44.57651869694481, 2024-08-15
-22.53053583031796, -44.563382898190966, 2024-08-15
